 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7662****** 耗时:    15s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7168****** 耗时:    30s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.6881****** 耗时:    44s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6784****** 耗时:    57s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.6822****** 耗时:    71s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6726****** 耗时:    84s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6741****** 耗时:    99s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6777****** 耗时:   113s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6771****** 耗时:   128s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6733****** 耗时:   141s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6769****** 耗时:   155s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6790****** 耗时:   169s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6814****** 耗时:   183s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6817****** 耗时:   198s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6812****** 耗时:   212s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6813****** 耗时:   225s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6796****** 耗时:   242s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6789****** 耗时:   257s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6777****** 耗时:   272s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6782****** 耗时:   286s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170507 22:46:07:397   结束时间: 20170507 22:50:53:413    历时:  286s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num =  7


 best object function value(  0.7662) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7649****** 耗时:    15s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7019****** 耗时:    29s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.6981****** 耗时:    43s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6895****** 耗时:    56s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.6655****** 耗时:    71s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6633****** 耗时:    85s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6638****** 耗时:   100s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6645****** 耗时:   114s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6613****** 耗时:   128s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6676****** 耗时:   141s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6715****** 耗时:   156s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6731****** 耗时:   170s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6747****** 耗时:   183s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6768****** 耗时:   197s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6768****** 耗时:   211s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6794****** 耗时:   225s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6800****** 耗时:   239s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6805****** 耗时:   253s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6810****** 耗时:   268s*****************************************
