 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7944****** 耗时:     5s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7095****** 耗时:    11s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.6851****** 耗时:    17s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6837****** 耗时:    22s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.6823****** 耗时:    28s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6828****** 耗时:    34s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6677****** 耗时:    39s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6586****** 耗时:    45s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6615****** 耗时:    51s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6567****** 耗时:    56s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6555****** 耗时:    62s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6442****** 耗时:    68s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6443****** 耗时:    73s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6396****** 耗时:    80s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6335****** 耗时:    85s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6364****** 耗时:    91s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6361****** 耗时:    97s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6386****** 耗时:   103s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6422****** 耗时:   109s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6453****** 耗时:   115s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170508 18:45:48:036   结束时间: 20170508 18:47:43:518    历时:  115s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num =  4


 best object function value(  0.7944) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7751****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7330****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7193****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7042****** 耗时:    24s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7073****** 耗时:    30s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7015****** 耗时:    36s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6977****** 耗时:    42s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6986****** 耗时:    48s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6985****** 耗时:    54s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6994****** 耗时:    59s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6924****** 耗时:    65s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6884****** 耗时:    71s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6878****** 耗时:    77s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6874****** 耗时:    83s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6883****** 耗时:    89s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6878****** 耗时:    95s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6892****** 耗时:   100s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6841****** 耗时:   106s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6813****** 耗时:   112s*****************************************
