reach(subbasin) number:       3


year    month    simu_value
1990       1      0.2971E-01
1990       2      0.5563E+00
1990       3      0.2324E+02
1990       4      0.4729E+02
1990       5      0.2022E+02
1990       6      0.7721E+00
1990       7      0.0000E+00
1990       8      0.0000E+00
1990       9      0.0000E+00
1990      10      0.0000E+00
1990      11      0.0000E+00
1990      12      0.2408E-02
1991       1      0.0000E+00
1991       2      0.0000E+00
1991       3      0.1436E+02
1991       4      0.5738E+02
1991       5      0.2532E+02
1991       6      0.2886E+01
1991       7      0.0000E+00
1991       8      0.0000E+00
1991       9      0.0000E+00
1991      10      0.0000E+00
1991      11      0.0000E+00
1991      12      0.9342E-01
1992       1      0.8257E-01
1992       2      0.4038E+01
1992       3      0.2071E+02
1992       4      0.5563E+02
1992       5      0.4994E+02
1992       6      0.2139E+02
1992       7      0.1632E+01
1992       8      0.0000E+00
1992       9      0.0000E+00
1992      10      0.0000E+00
1992      11      0.0000E+00
1992      12      0.0000E+00
1993       1      0.0000E+00
1993       2      0.0000E+00
1993       3      0.9590E+01
1993       4      0.1906E+02
1993       5      0.2933E+02
1993       6      0.1224E+02
1993       7      0.1621E+00
1993       8      0.0000E+00
1993       9      0.0000E+00
1993      10      0.0000E+00
1993      11      0.4026E+00
1993      12      0.2047E+02
1994       1      0.4914E+02
1994       2      0.4439E+02
1994       3      0.7029E+02
1994       4      0.6321E+02
1994       5      0.5347E+02
1994       6      0.1933E+02
1994       7      0.1133E+01
1994       8      0.0000E+00
1994       9      0.0000E+00
1994      10      0.0000E+00
1994      11      0.9558E+01
1994      12      0.5356E+01
1995       1      0.2279E+01
1995       2      0.2177E+02
1995       3      0.8187E+01
1995       4      0.2721E+02
1995       5      0.4890E+02
1995       6      0.3290E+02
1995       7      0.7210E+01
1995       8      0.0000E+00
1995       9      0.0000E+00
1995      10      0.0000E+00
1995      11      0.0000E+00
1995      12      0.0000E+00
1996       1      0.0000E+00
1996       2      0.0000E+00
1996       3      0.8387E-01
1996       4      0.4054E+02
1996       5      0.2837E+02
1996       6      0.4665E+01
1996       7      0.0000E+00
1996       8      0.0000E+00
1996       9      0.0000E+00
1996      10      0.0000E+00
1996      11      0.0000E+00
1996      12      0.0000E+00
1997       1      0.0000E+00
1997       2      0.0000E+00
1997       3      0.0000E+00
1997       4      0.0000E+00
1997       5      0.0000E+00
1997       6      0.0000E+00
1997       7      0.0000E+00
1997       8      0.0000E+00
1997       9      0.0000E+00
1997      10      0.0000E+00
1997      11      0.0000E+00
1997      12      0.0000E+00
1998       1      0.6479E-02
1998       2      0.1713E-02
1998       3      0.4733E+02
1998       4      0.5685E+02
1998       5      0.2819E+02
1998       6      0.3393E+01
1998       7      0.0000E+00
1998       8      0.0000E+00
1998       9      0.0000E+00
1998      10      0.0000E+00
1998      11      0.0000E+00
1998      12      0.0000E+00
1999       1      0.0000E+00
1999       2      0.0000E+00
1999       3      0.0000E+00
1999       4      0.0000E+00
1999       5      0.0000E+00
1999       6      0.0000E+00
1999       7      0.0000E+00
1999       8      0.0000E+00
1999       9      0.0000E+00
1999      10      0.0000E+00
1999      11      0.0000E+00
1999      12      0.0000E+00
2000       1      0.0000E+00
2000       2      0.0000E+00
2000       3      0.7049E+01
2000       4      0.2011E+02
2000       5      0.2499E+01
2000       6      0.0000E+00
2000       7      0.0000E+00
2000       8      0.0000E+00
2000       9      0.0000E+00
2000      10      0.0000E+00
2000      11      0.0000E+00
2000      12      0.1807E-02
2001       1      0.0000E+00
2001       2      0.0000E+00
2001       3      0.0000E+00
2001       4      0.0000E+00
2001       5      0.0000E+00
2001       6      0.0000E+00
2001       7      0.0000E+00
2001       8      0.0000E+00
2001       9      0.0000E+00
2001      10      0.0000E+00
2001      11      0.0000E+00
2001      12      0.6647E-03
