reach(subbasin) number:       3


year    month    simu_value
1990       1      0.3005E-01
1990       2      0.2278E+00
1990       3      0.1234E+02
1990       4      0.2757E+02
1990       5      0.1228E+02
1990       6      0.1189E+00
1990       7      0.0000E+00
1990       8      0.0000E+00
1990       9      0.0000E+00
1990      10      0.0000E+00
1990      11      0.0000E+00
1990      12      0.2505E-02
1991       1      0.0000E+00
1991       2      0.0000E+00
1991       3      0.1921E+02
1991       4      0.4395E+02
1991       5      0.2577E+02
1991       6      0.7179E+01
1991       7      0.0000E+00
1991       8      0.0000E+00
1991       9      0.0000E+00
1991      10      0.0000E+00
1991      11      0.7299E+00
1991      12      0.5406E+01
1992       1      0.2597E+01
1992       2      0.5274E+01
1992       3      0.2426E+02
1992       4      0.5708E+02
1992       5      0.5199E+02
1992       6      0.2958E+02
1992       7      0.5271E+01
1992       8      0.6914E-01
1992       9      0.0000E+00
1992      10      0.0000E+00
1992      11      0.4913E+00
1992      12      0.8907E+01
1993       1      0.5639E+01
1993       2      0.4828E+01
1993       3      0.2059E+02
1993       4      0.2296E+02
1993       5      0.3015E+02
1993       6      0.1322E+02
1993       7      0.6874E+00
1993       8      0.0000E+00
1993       9      0.0000E+00
1993      10      0.0000E+00
1993      11      0.9249E+00
1993      12      0.2024E+02
1994       1      0.3532E+02
1994       2      0.3407E+02
1994       3      0.5136E+02
1994       4      0.4163E+02
1994       5      0.4028E+02
1994       6      0.1559E+02
1994       7      0.9049E+00
1994       8      0.0000E+00
1994       9      0.0000E+00
1994      10      0.0000E+00
1994      11      0.1300E+02
1994      12      0.2428E+02
1995       1      0.1648E+02
1995       2      0.2841E+02
1995       3      0.1928E+02
1995       4      0.2358E+02
1995       5      0.4624E+02
1995       6      0.3602E+02
1995       7      0.1291E+02
1995       8      0.5281E+00
1995       9      0.0000E+00
1995      10      0.0000E+00
1995      11      0.0000E+00
1995      12      0.0000E+00
